#===========================================================
#Electricity production in the European Union by source
#
#Source:
#[1] Yearly electricity data
#
#    EMBER
#    https://ember-energy.org/data/yearly-electricity-data/
#    (Accessed on 11 March 2025)
#
#Available under CC-BY-4.0
#https://ember-energy.org/creative-commons/
#https://creativecommons.org/licenses/by/4.0/deed.en
#
#Values are in TWh/Year
#===========================================================
Country,Year,Source,Value
Austria,2012,Nuclear,0.0
Austria,2012,Other Fossil,3.22
Austria,2012,Other Renewables,0.0
Austria,2012,Solar,0.34
Austria,2012,Wind,2.46
Austria,2013,Bioenergy,4.7
Austria,2013,Coal,4.21
Austria,2013,Gas,6.65
Austria,2013,Hydro,42.02
Austria,2013,Nuclear,0.0
Austria,2013,Other Fossil,3.19
Austria,2013,Other Renewables,0.0
Austria,2013,Solar,0.63
Austria,2013,Wind,3.15
Austria,2014,Bioenergy,4.55
Austria,2014,Coal,2.94
Austria,2014,Gas,5.32
Austria,2014,Hydro,41.01
Austria,2014,Nuclear,0.0
Austria,2014,Other Fossil,3.09
Austria,2014,Other Renewables,0.0
Austria,2014,Solar,0.79
Austria,2014,Wind,3.85
Austria,2015,Bioenergy,4.65
Austria,2015,Coal,2.95
Austria,2015,Gas,7.66
Austria,2015,Hydro,37.16
Austria,2015,Nuclear,0.0
Austria,2015,Other Fossil,3.58
Austria,2015,Other Renewables,0.0
Austria,2015,Solar,0.94
Austria,2015,Wind,4.84
Austria,2016,Bioenergy,4.78
Austria,2016,Coal,2.04
Austria,2016,Gas,8.49
Austria,2016,Hydro,39.97
Austria,2016,Nuclear,0.0
Austria,2016,Other Fossil,3.26
Austria,2016,Other Renewables,0.0
Austria,2016,Solar,1.1
Austria,2016,Wind,5.23
Austria,2017,Bioenergy,4.92
Austria,2017,Coal,1.76
Austria,2017,Gas,10.91
Austria,2017,Hydro,38.29
Austria,2017,Nuclear,0.0
Austria,2017,Other Fossil,3.37
Austria,2017,Other Renewables,0.0
Austria,2017,Solar,1.27
Austria,2017,Wind,6.57
Austria,2018,Bioenergy,4.93
Austria,2018,Coal,1.81
Austria,2018,Gas,9.92
Austria,2018,Hydro,37.64
Austria,2018,Nuclear,0.0
Austria,2018,Other Fossil,2.88
Austria,2018,Other Renewables,0.0
Austria,2018,Solar,1.46
Austria,2018,Wind,6.03
Austria,2019,Bioenergy,4.66
Austria,2019,Coal,1.5
Austria,2019,Gas,11.32
Austria,2019,Hydro,40.83
Austria,2019,Nuclear,0.0
Austria,2019,Other Fossil,3.23
Austria,2019,Other Renewables,0.0
Austria,2019,Solar,1.7
Austria,2019,Wind,7.45
Austria,2020,Bioenergy,4.59
Austria,2020,Coal,0.56
Austria,2020,Gas,9.95
Austria,2020,Hydro,42.0
Austria,2020,Nuclear,0.0
Austria,2020,Other Fossil,3.11
Austria,2020,Other Renewables,0.0
Austria,2020,Solar,2.04
Austria,2020,Wind,6.79
Austria,2021,Bioenergy,4.48
Austria,2021,Coal,0.0
Austria,2021,Gas,10.62
Austria,2021,Hydro,38.89
Austria,2021,Nuclear,0.0
Austria,2021,Other Fossil,3.31
Austria,2021,Other Renewables,0.0
Austria,2021,Solar,2.77
Austria,2021,Wind,6.74
Austria,2022,Bioenergy,4.76
Austria,2022,Coal,0.0
Austria,2022,Gas,10.87
Austria,2022,Hydro,34.63
Austria,2022,Nuclear,0.0
Austria,2022,Other Fossil,3.22
Austria,2022,Other Renewables,0.0
Austria,2022,Solar,3.78
Austria,2022,Wind,7.25
Austria,2023,Bioenergy,4.56
Austria,2023,Coal,0.0
Austria,2023,Gas,7.5
Austria,2023,Hydro,40.67
Austria,2023,Nuclear,0.0
Austria,2023,Other Fossil,3.32
Austria,2023,Other Renewables,0.0
Austria,2023,Solar,6.39
Austria,2023,Wind,8.34
Austria,2024,Bioenergy,5.09
Austria,2024,Coal,0.0
Austria,2024,Gas,6.93
Austria,2024,Hydro,44.76
Austria,2024,Nuclear,0.0
Austria,2024,Other Fossil,3.32
Austria,2024,Other Renewables,0.0
Austria,2024,Solar,8.82
Austria,2024,Wind,9.44
Belgium,2000,Bioenergy,0.57
Belgium,2000,Coal,12.92
Belgium,2000,Gas,15.98
Belgium,2000,Hydro,0.46
Belgium,2000,Nuclear,48.16
Belgium,2000,Other Fossil,4.68
Belgium,2000,Other Renewables,0.0
Belgium,2000,Solar,0.0
Belgium,2000,Wind,0.02
Belgium,2001,Bioenergy,0.6
Belgium,2001,Coal,9.94
Belgium,2001,Gas,15.78
Belgium,2001,Hydro,0.44
Belgium,2001,Nuclear,46.35
Belgium,2001,Other Fossil,5.48
Belgium,2001,Other Renewables,0.0
Belgium,2001,Solar,0.0
Belgium,2001,Wind,0.04
Belgium,2002,Bioenergy,0.72
Belgium,2002,Coal,10.03
Belgium,2002,Gas,17.87
Belgium,2002,Hydro,0.36
Belgium,2002,Nuclear,47.36
Belgium,2002,Other Fossil,4.54
Belgium,2002,Other Renewables,0.0
Belgium,2002,Solar,0.0
Belgium,2002,Wind,0.06
Belgium,2003,Bioenergy,0.86
Belgium,2003,Coal,9.64
Belgium,2003,Gas,21.61
Belgium,2003,Hydro,0.25
Belgium,2003,Nuclear,47.38
Belgium,2003,Other Fossil,3.74
Belgium,2003,Other Renewables,0.0
Belgium,2003,Solar,0.0
Belgium,2003,Wind,0.09
Belgium,2004,Bioenergy,1.04
Belgium,2004,Coal,9.15
Belgium,2004,Gas,20.04
Belgium,2004,Hydro,0.32
Belgium,2004,Nuclear,47.31
Belgium,2004,Other Fossil,4.91
Belgium,2004,Other Renewables,0.0
Belgium,2004,Solar,0.0
Belgium,2004,Wind,0.14
Belgium,2005,Bioenergy,1.59
Belgium,2005,Coal,8.2
Belgium,2005,Gas,21.5
Belgium,2005,Hydro,0.29
Belgium,2005,Nuclear,47.6
Belgium,2005,Other Fossil,4.97
Belgium,2005,Other Renewables,0.0
Belgium,2005,Solar,0.0
Belgium,2005,Wind,0.23
Belgium,2006,Bioenergy,2.23
Belgium,2006,Coal,6.85
Belgium,2006,Gas,21.99
Belgium,2006,Hydro,0.36
Belgium,2006,Nuclear,46.65
Belgium,2006,Other Fossil,4.89
Belgium,2006,Other Renewables,0.0
Belgium,2006,Solar,0.0
Belgium,2006,Wind,0.37
Belgium,2007,Bioenergy,2.6
Belgium,2007,Coal,6.47
Belgium,2007,Gas,24.66
Belgium,2007,Hydro,0.39
Belgium,2007,Nuclear,48.23
Belgium,2007,Other Fossil,3.96
Belgium,2007,Other Renewables,0.0
Belgium,2007,Solar,0.01
Belgium,2007,Wind,0.49
Belgium,2008,Bioenergy,3.33
Belgium,2008,Coal,5.55
Belgium,2008,Gas,24.11
Belgium,2008,Hydro,0.41
Belgium,2008,Nuclear,45.57
Belgium,2008,Other Fossil,3.41
Belgium,2008,Other Renewables,0.0
Belgium,2008,Solar,0.04
Belgium,2008,Wind,0.64
Belgium,2009,Bioenergy,3.95
Belgium,2009,Coal,5.18
Belgium,2009,Gas,29.25
Belgium,2009,Hydro,0.33
Belgium,2009,Nuclear,47.22
Belgium,2009,Other Fossil,2.67
Belgium,2009,Other Renewables,0.0
Belgium,2009,Solar,0.17
Belgium,2009,Wind,0.99
Belgium,2010,Bioenergy,4.38
Belgium,2010,Coal,4.2
Belgium,2010,Gas,30.84
Belgium,2010,Hydro,0.31
Belgium,2010,Nuclear,47.94
Belgium,2010,Other Fossil,3.49
Belgium,2010,Other Renewables,0.0
Belgium,2010,Solar,0.58
Belgium,2010,Wind,1.29
Belgium,2011,Bioenergy,4.63
Belgium,2011,Coal,3.48
Belgium,2011,Gas,25.44
Belgium,2011,Hydro,0.2
Belgium,2011,Nuclear,48.23
Belgium,2011,Other Fossil,3.77
Belgium,2011,Other Renewables,0.0
Belgium,2011,Solar,1.21
Belgium,2011,Wind,2.31
Belgium,2012,Bioenergy,5.24
Belgium,2012,Coal,3.39
Belgium,2012,Gas,23.57
Belgium,2012,Hydro,0.36
Belgium,2012,Nuclear,40.29
Belgium,2012,Other Fossil,3.75
Belgium,2012,Other Renewables,0.0
Belgium,2012,Solar,2.15
Belgium,2012,Wind,2.76
Belgium,2013,Bioenergy,5.03
Belgium,2013,Coal,3.01
Belgium,2013,Gas,20.8
Belgium,2013,Hydro,0.38
Belgium,2013,Nuclear,42.64
Belgium,2013,Other Fossil,3.78
Belgium,2013,Other Renewables,0.0
Belgium,2013,Solar,2.64
Belgium,2013,Wind,3.67
Belgium,2014,Bioenergy,4.41
Belgium,2014,Coal,2.09
Belgium,2014,Gas,19.34
Belgium,2014,Hydro,0.29
Belgium,2014,Nuclear,33.7
Belgium,2014,Other Fossil,3.86
Belgium,2014,Other Renewables,0.0
Belgium,2014,Solar,2.89
Belgium,2014,Wind,4.62
Belgium,2015,Bioenergy,5.49
Belgium,2015,Coal,2.07
Belgium,2015,Gas,22.02
Belgium,2015,Hydro,0.32
Belgium,2015,Nuclear,26.1
Belgium,2015,Other Fossil,3.8
Belgium,2015,Other Renewables,0.0
Belgium,2015,Solar,3.06
Belgium,2015,Wind,5.57
Belgium,2016,Bioenergy,5.36
Belgium,2016,Coal,0.39
Belgium,2016,Gas,22.07
Belgium,2016,Hydro,0.37
Belgium,2016,Nuclear,43.52
Belgium,2016,Other Fossil,4.08
Belgium,2016,Other Renewables,0.0
Belgium,2016,Solar,3.1
Belgium,2016,Wind,5.42
Belgium,2017,Bioenergy,5.7
Belgium,2017,Coal,0.0
Belgium,2017,Gas,23.02
Belgium,2017,Hydro,0.27
Belgium,2017,Nuclear,42.23
Belgium,2017,Other Fossil,4.29
Belgium,2017,Other Renewables,0.0
Belgium,2017,Solar,3.31
Belgium,2017,Wind,6.52
Belgium,2018,Bioenergy,5.4
Belgium,2018,Coal,0.0
Belgium,2018,Gas,23.99
Belgium,2018,Hydro,0.29
Belgium,2018,Nuclear,28.6
Belgium,2018,Other Fossil,4.12
Belgium,2018,Other Renewables,0.0
Belgium,2018,Solar,3.9
Belgium,2018,Wind,7.57
Belgium,2019,Bioenergy,5.15
Belgium,2019,Coal,0.0
Belgium,2019,Gas,25.54
Belgium,2019,Hydro,0.3
Belgium,2019,Nuclear,43.52
Belgium,2019,Other Fossil,4.18
Belgium,2019,Other Renewables,0.0
Belgium,2019,Solar,4.25
Belgium,2019,Wind,9.75
Belgium,2020,Bioenergy,5.26
Belgium,2020,Coal,0.0
Belgium,2020,Gas,26.78
Belgium,2020,Hydro,0.27
Belgium,2020,Nuclear,34.43
Belgium,2020,Other Fossil,3.63
Belgium,2020,Other Renewables,0.0
Belgium,2020,Solar,5.11
Belgium,2020,Wind,12.81
Belgium,2021,Bioenergy,4.7
Belgium,2021,Coal,0.0
Belgium,2021,Gas,22.52
Belgium,2021,Hydro,0.42
Belgium,2021,Nuclear,50.33
Belgium,2021,Other Fossil,3.8
Belgium,2021,Other Renewables,0.0
Belgium,2021,Solar,5.62
Belgium,2021,Wind,12.0
Belgium,2022,Bioenergy,4.93
Belgium,2022,Coal,0.0
Belgium,2022,Gas,21.95
Belgium,2022,Hydro,0.27
Belgium,2022,Nuclear,43.88
Belgium,2022,Other Fossil,4.07
Belgium,2022,Other Renewables,0.0
Belgium,2022,Solar,6.88
Belgium,2022,Wind,12.35
Belgium,2023,Bioenergy,3.8
Belgium,2023,Coal,0.0
Belgium,2023,Gas,18.3
Belgium,2023,Hydro,0.41
Belgium,2023,Nuclear,32.93
Belgium,2023,Other Fossil,3.48
Belgium,2023,Other Renewables,0.0
Belgium,2023,Solar,7.82
Belgium,2023,Wind,15.46
Belgium,2024,Bioenergy,3.5
Belgium,2024,Coal,0.0
Belgium,2024,Gas,13.95
Belgium,2024,Hydro,0.33
Belgium,2024,Nuclear,31.41
Belgium,2024,Other Fossil,2.64
Belgium,2024,Other Renewables,0.0
Belgium,2024,Solar,8.93
Belgium,2024,Wind,14.0
Bulgaria,2000,Bioenergy,0.0
Bulgaria,2000,Coal,16.94
Bulgaria,2000,Gas,1.91
Bulgaria,2000,Hydro,2.63
Bulgaria,2000,Nuclear,18.18
Bulgaria,2000,Other Fossil,0.93
Bulgaria,2000,Other Renewables,0.0
Bulgaria,2000,Solar,0.0
Bulgaria,2001,Bioenergy,0.0
Bulgaria,2001,Coal,19.5
Bulgaria,2001,Gas,1.91
Bulgaria,2001,Hydro,1.65
Bulgaria,2001,Nuclear,19.55
Bulgaria,2001,Other Fossil,0.83
Bulgaria,2001,Other Renewables,0.0
Bulgaria,2001,Solar,0.0
Bulgaria,2002,Bioenergy,0.0
Bulgaria,2002,Coal,17.18
Bulgaria,2002,Gas,1.54
Bulgaria,2002,Hydro,2.12
Bulgaria,2002,Nuclear,20.22
Bulgaria,2002,Other Fossil,1.02
Bulgaria,2002,Other Renewables,0.0
Bulgaria,2002,Solar,0.0
Bulgaria,2003,Bioenergy,0.0
Bulgaria,2003,Coal,19.24
Bulgaria,2003,Gas,1.76
Bulgaria,2003,Hydro,2.99
Bulgaria,2003,Nuclear,17.28
Bulgaria,2003,Other Fossil,1.01
Bulgaria,2003,Other Renewables,0.0
Bulgaria,2003,Solar,0.0
Bulgaria,2004,Bioenergy,0.0
Bulgaria,2004,Coal,18.9
Bulgaria,2004,Gas,1.49
Bulgaria,2004,Hydro,3.14
Bulgaria,2004,Nuclear,16.82
Bulgaria,2004,Other Fossil,1.01
Bulgaria,2004,Other Renewables,0.0
Bulgaria,2004,Solar,0.0
Bulgaria,2004,Wind,0.0
Bulgaria,2005,Bioenergy,0.0
Bulgaria,2005,Coal,18.46
Bulgaria,2005,Gas,1.73
Bulgaria,2005,Hydro,4.3
Bulgaria,2005,Nuclear,18.65
Bulgaria,2005,Other Fossil,0.75
Bulgaria,2005,Other Renewables,0.0
Bulgaria,2005,Solar,0.0
Bulgaria,2005,Wind,0.0
Bulgaria,2006,Bioenergy,0.0
Bulgaria,2006,Coal,19.09
Bulgaria,2006,Gas,2.16
Bulgaria,2006,Hydro,4.21
Bulgaria,2006,Nuclear,19.49
Bulgaria,2006,Other Fossil,0.47
Bulgaria,2006,Other Renewables,0.0
Bulgaria,2006,Solar,0.0
Bulgaria,2006,Wind,0.02
Bulgaria,2007,Bioenergy,0.0
Bulgaria,2007,Coal,22.37
Bulgaria,2007,Gas,2.34
Bulgaria,2007,Hydro,2.83
Bulgaria,2007,Nuclear,14.64
Bulgaria,2007,Other Fossil,0.59
Bulgaria,2007,Other Renewables,0.0
Bulgaria,2007,Solar,0.0
Bulgaria,2007,Wind,0.05
Bulgaria,2008,Bioenergy,0.02
Bulgaria,2008,Coal,23.18
Bulgaria,2008,Gas,2.36
Bulgaria,2008,Hydro,2.79
Bulgaria,2008,Nuclear,15.77
Bulgaria,2008,Other Fossil,0.25
Bulgaria,2008,Other Renewables,0.0
Bulgaria,2008,Solar,0.0
Bulgaria,2008,Wind,0.12
Bulgaria,2009,Bioenergy,0.01
Bulgaria,2009,Coal,21.1
Bulgaria,2009,Gas,1.96
Bulgaria,2009,Hydro,3.43
Bulgaria,2009,Nuclear,15.26
Bulgaria,2009,Other Fossil,0.31
Bulgaria,2009,Other Renewables,0.0
Bulgaria,2009,Solar,0.0
Bulgaria,2009,Wind,0.24
Bulgaria,2010,Bioenergy,0.04
Bulgaria,2010,Coal,22.61
Bulgaria,2010,Gas,1.97
Bulgaria,2010,Hydro,5.03
Bulgaria,2010,Nuclear,15.25
Bulgaria,2010,Other Fossil,0.34
Bulgaria,2010,Other Renewables,0.0
Bulgaria,2010,Solar,0.01
Bulgaria,2010,Wind,0.68
Bulgaria,2011,Bioenergy,0.06
Bulgaria,2011,Coal,27.53
Bulgaria,2011,Gas,2.08
Bulgaria,2011,Hydro,2.87
Bulgaria,2011,Nuclear,16.31
Bulgaria,2011,Other Fossil,0.15
Bulgaria,2011,Other Renewables,0.0
Bulgaria,2011,Solar,0.1
Bulgaria,2011,Wind,0.86
Bulgaria,2012,Bioenergy,0.07
Bulgaria,2012,Coal,22.87
Bulgaria,2012,Gas,2.36
Bulgaria,2012,Hydro,3.18
Bulgaria,2012,Nuclear,15.78
Bulgaria,2012,Other Fossil,0.2
Bulgaria,2012,Other Renewables,0.0
Bulgaria,2012,Solar,0.78
Bulgaria,2012,Wind,1.22
Bulgaria,2013,Bioenergy,0.11
Bulgaria,2013,Coal,19.39
Bulgaria,2013,Gas,2.34
Bulgaria,2013,Hydro,4.04
Bulgaria,2013,Nuclear,14.17
Bulgaria,2013,Other Fossil,0.21
Bulgaria,2013,Other Renewables,0.0
Bulgaria,2013,Solar,1.39
Bulgaria,2013,Wind,1.37
Bulgaria,2014,Bioenergy,0.2
Bulgaria,2014,Coal,21.31
Bulgaria,2014,Gas,2.14
Bulgaria,2014,Hydro,4.6
Bulgaria,2014,Nuclear,15.87
Bulgaria,2014,Other Fossil,0.21
Bulgaria,2014,Other Renewables,0.0
Bulgaria,2014,Solar,1.26
Bulgaria,2014,Wind,1.33
Bulgaria,2015,Bioenergy,0.27
Bulgaria,2015,Coal,22.53
Bulgaria,2015,Gas,1.86
Bulgaria,2015,Hydro,5.65
Bulgaria,2015,Nuclear,15.38
Bulgaria,2015,Other Fossil,0.19
Bulgaria,2015,Other Renewables,0.0
Bulgaria,2015,Solar,1.38
Bulgaria,2015,Wind,1.45
Bulgaria,2016,Bioenergy,0.35
Bulgaria,2016,Coal,19.37
Bulgaria,2016,Gas,2.05
Bulgaria,2016,Hydro,3.88
Bulgaria,2016,Nuclear,15.78
Bulgaria,2016,Other Fossil,0.29
Bulgaria,2016,Other Renewables,0.0
Bulgaria,2016,Solar,1.39
Bulgaria,2016,Wind,1.42
Bulgaria,2017,Bioenergy,0.4
Bulgaria,2017,Coal,20.92
Bulgaria,2017,Gas,1.93
Bulgaria,2017,Hydro,2.83
Bulgaria,2017,Nuclear,15.55
Bulgaria,2017,Other Fossil,0.31
Bulgaria,2017,Other Renewables,0.0
Bulgaria,2017,Solar,1.4
Bulgaria,2017,Wind,1.5
Bulgaria,2018,Bioenergy,1.57
Bulgaria,2018,Coal,18.66
Bulgaria,2018,Gas,2.02
Bulgaria,2018,Hydro,5.15
Bulgaria,2018,Nuclear,16.13
Bulgaria,2018,Other Fossil,0.32
Bulgaria,2018,Other Renewables,0.0
Bulgaria,2018,Solar,1.34
Bulgaria,2018,Wind,1.32
Bulgaria,2019,Bioenergy,1.82
Bulgaria,2019,Coal,17.2
Bulgaria,2019,Gas,2.15
Bulgaria,2019,Hydro,2.93
Bulgaria,2019,Nuclear,16.56
Bulgaria,2019,Other Fossil,0.32
Bulgaria,2019,Other Renewables,0.0
Bulgaria,2019,Solar,1.42
Bulgaria,2019,Wind,1.32
Bulgaria,2020,Bioenergy,1.7
Bulgaria,2020,Coal,13.51
Bulgaria,2020,Gas,2.29
Bulgaria,2020,Hydro,2.82
Bulgaria,2020,Nuclear,16.63
Bulgaria,2020,Other Fossil,0.24
Bulgaria,2020,Other Renewables,0.0
Bulgaria,2020,Solar,1.47
Bulgaria,2020,Wind,1.48
Bulgaria,2021,Bioenergy,2.59
Bulgaria,2021,Coal,17.09
Bulgaria,2021,Gas,3.05
Bulgaria,2021,Hydro,4.82
Bulgaria,2021,Nuclear,16.49
Bulgaria,2021,Other Fossil,0.28
Bulgaria,2021,Other Renewables,0.0
Bulgaria,2021,Solar,1.47
Bulgaria,2021,Wind,1.43
Bulgaria,2022,Bioenergy,2.24
Bulgaria,2022,Coal,21.79
Bulgaria,2022,Gas,2.05
Bulgaria,2022,Hydro,3.8
Bulgaria,2022,Nuclear,16.46
Bulgaria,2022,Other Fossil,0.35
Bulgaria,2022,Other Renewables,0.0
Bulgaria,2022,Solar,2.09
Bulgaria,2022,Wind,1.5
Bulgaria,2023,Bioenergy,1.87
Bulgaria,2023,Coal,11.73
Bulgaria,2023,Gas,1.94
Bulgaria,2023,Hydro,3.08
Bulgaria,2023,Nuclear,16.16
Bulgaria,2023,Other Fossil,0.2
Bulgaria,2023,Other Renewables,0.0
Bulgaria,2023,Solar,3.52
Bulgaria,2023,Wind,1.61
Bulgaria,2024,Bioenergy,1.82
Bulgaria,2024,Coal,8.01
Bulgaria,2024,Gas,1.86
Bulgaria,2024,Hydro,2.9
Bulgaria,2024,Nuclear,15.52
Bulgaria,2024,Other Fossil,0.2
Bulgaria,2024,Other Renewables,0.0
Bulgaria,2024,Solar,5.34
Bulgaria,2024,Wind,1.47
Croatia,2000,Bioenergy,0.0
Croatia,2000,Coal,1.55
Croatia,2000,Gas,1.57
Croatia,2000,Hydro,6.45
Croatia,2000,Nuclear,0.0
Croatia,2000,Other Fossil,1.64
Croatia,2000,Other Renewables,0.0
Croatia,2000,Solar,0.0
Croatia,2001,Bioenergy,0.0
Croatia,2001,Coal,1.64
Croatia,2001,Gas,1.83
Croatia,2001,Hydro,7.18
Croatia,2001,Nuclear,0.0
Croatia,2001,Other Fossil,2.1
Croatia,2001,Other Renewables,0.0
Croatia,2001,Solar,0.0
Croatia,2002,Bioenergy,0.0
Croatia,2002,Coal,2.11
Croatia,2002,Gas,2.53
Croatia,2002,Hydro,5.85
Croatia,2002,Nuclear,0.0
Croatia,2002,Other Fossil,2.2
Croatia,2002,Other Renewables,0.0
Croatia,2002,Solar,0.0
Croatia,2003,Bioenergy,0.0
Croatia,2003,Coal,2.4
Croatia,2003,Gas,2.06
Croatia,2003,Hydro,5.46
Croatia,2003,Nuclear,0.0
Croatia,2003,Other Fossil,3.24
Croatia,2003,Other Renewables,0.0
Croatia,2003,Solar,0.0
Croatia,2004,Bioenergy,0.0
Croatia,2004,Coal,2.14
Croatia,2004,Gas,2.46
Croatia,2004,Hydro,7.63
Croatia,2004,Nuclear,0.0
Croatia,2004,Other Fossil,1.64
Croatia,2004,Other Renewables,0.0
Croatia,2004,Solar,0.0
Croatia,2004,Wind,0.0
Croatia,2005,Bioenergy,0.01
Croatia,2005,Coal,2.33
Croatia,2005,Gas,1.82
Croatia,2005,Hydro,7.04
Croatia,2005,Nuclear,0.0
Croatia,2005,Other Fossil,1.84
Croatia,2005,Other Renewables,0.0
Croatia,2005,Solar,0.0
Croatia,2005,Wind,0.01
Croatia,2006,Bioenergy,0.01
Croatia,2006,Coal,2.25
Croatia,2006,Gas,2.06
Croatia,2006,Hydro,6.62
Croatia,2006,Nuclear,0.0
Croatia,2006,Other Fossil,1.95
Croatia,2006,Other Renewables,0.0
Croatia,2006,Solar,0.0
Croatia,2006,Wind,0.02
Croatia,2007,Bioenergy,0.01
Croatia,2007,Coal,2.42
Croatia,2007,Gas,3.07
Croatia,2007,Hydro,4.7
Croatia,2007,Nuclear,0.0
Croatia,2007,Other Fossil,2.31
Croatia,2007,Other Renewables,0.0
Croatia,2007,Solar,0.0
Croatia,2007,Wind,0.03
Croatia,2008,Bioenergy,0.02
Croatia,2008,Coal,2.49
Croatia,2008,Gas,2.46
Croatia,2008,Hydro,5.78
Croatia,2008,Nuclear,0.0
Croatia,2008,Other Fossil,1.99
Croatia,2008,Other Renewables,0.0
Croatia,2008,Solar,0.0
Croatia,2008,Wind,0.04
Croatia,2009,Bioenergy,0.02
Croatia,2009,Coal,1.65
Croatia,2009,Gas,2.21
Croatia,2009,Hydro,7.41
Croatia,2009,Nuclear,0.0
Croatia,2009,Other Fossil,2.01
Croatia,2009,Other Renewables,0.0
Croatia,2009,Solar,0.0
Croatia,2009,Wind,0.05
Croatia,2010,Bioenergy,0.03
Croatia,2010,Coal,2.38
Croatia,2010,Gas,2.55
Croatia,2010,Hydro,9.13
Croatia,2010,Nuclear,0.0
Croatia,2010,Other Fossil,0.56
Croatia,2010,Other Renewables,0.0
Croatia,2010,Solar,0.0
Croatia,2010,Wind,0.14
Croatia,2011,Bioenergy,0.05
Croatia,2011,Coal,2.58
Croatia,2011,Gas,2.62
Croatia,2011,Hydro,5.03
Croatia,2011,Nuclear,0.0
Croatia,2011,Other Fossil,0.75
Croatia,2011,Other Renewables,0.0
