#===============================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#US presidential election Nov. 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#[1] Election results and voting information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    Federal Election Commission - United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#    (Accessed on 26 April 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Available under U.S. Public Domain license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#https://resources.data.gov/open-licenses/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#http://www.usa.gov/publicdomain/label/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#===============================================================================================,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,ELECTORAL VOTES,ELECTORAL VOTE: TRUMP (R),ELECTORAL VOTE: HARRIS (D),AYYADURAI,BOWMAN,DE LA CRUZ,DUNCAN,EBKE,EVERYLOVE,FRUIT,GARRITY,HARRIS,HUBER,KENNEDY,KISHORE,OLIVER,PRESTON,SKOUSEN,SONSKI,STEIN,STODDEN,SUPREME,TERRY,TRUMP,WELLS,WEST,WOOD,NONE OF THESE CANDIDATES,WRITE-INS (SCATTERED),TOTAL VOTES
KY,8,8,,1015,10,391,,,,,,704043,,16769,8,6422,,,611,7566,,,,1337494,,177,,,24,2074530
LA,8,8,,,,1481,,,,361,,766870,,6641,,6835,2857,,2240,7138,,,1424,1208505,,2623,,,,2006975
ME,4,1,3,,,,,,,,,435652,,,,5286,,,,8967,,,,377977,,2912,,,581,831375
MD,10,,10,31,,1136,,,,,,1902577,,28819,12,15570,,,1012,33134,3,,,1035550,,918,,,19572,3038334
MA,11,,11,18418,,12889,,,,,,2126518,,,,17735,,,280,26545,,,,1251303,,243,,,19737,3473668
MI,15,15,,,4,458,,,,,,2736533,,26785,2330,22440,,,1212,44607,,,6509,2816636,,6664,,,8,5664186
MN,10,,10,2885,,2996,,,,457,3,1656979,,24001,1,15155,,,882,16275,,,,1519032,,3136,,,12118,3253920
MS,6,6,,688,,1075,,,,,,466668,,5387,,2536,,,1007,1873,,,1030,747744,,,,,,1228008
MO,10,10,,34,,618,,,,,,1200599,,,,23876,,,1069,17135,,,,1751986,,,,,10,2995327
MT,4,4,,21,,,,,,,,231906,,11825,,4275,,,,2878,,,,352079,,,,,6,602990
NE,5,4,1,,,,,,,,,369995,,,,6399,,,,2887,,,,564816,,3062,,,5023,952182
NV,6,6,,,,,,,,,,705197,,,,6059,,2754,,,,,,751205,,,,19625,,1484840
NH,4,,4,,,,,,,,,418488,,,,4425,,,,3680,,,,395523,,,,,4073,826189
NJ,14,,14,,,5105,,,,1277,,2220713,,23479,1371,10500,,,,39041,,,3024,1968215,,,,,,4272725
NM,5,,5,,,2442,,859,,,,478802,,9553,,3745,,,,4611,,,,423391,,,,,,923403
NY,28,,28,134,,6327,,,,,108,4619195,,,,5338,,,1544,46698,,,,3578899,,4152,,,100,8262495
NC,16,16,,30,,528,,,,,,2715375,,,,22125,,,,24762,,,6863,2898423,,12099,,,18936,5699141
ND,3,3,,,,,,,,,,112327,,,,6227,,,,,,,,246505,,,,,3096,368155
OH,17,17,,74,7,1794,12805,,,,13,2533699,,,,28200,,,10197,,,,,3180116,,852,,,31,5767788
OK,7,7,,,,,,,,,5143,499599,,16020,,9198,,,,,,,,1036213,,,,,,1566173
OR,8,,8,,,,,,,,,1240600,,33733,,9061,,,,19099,,,1850,919480,,5644,,,15026,2244493
PA,19,19,,,,,,,,,,3423042,,,,33318,,,,34538,,,,3543308,,,,,24526,7058732
RI,4,,4,,,1176,,,,,,285156,,5045,,1617,,,,2900,,,,214406,359,,,,2727,513386
SC,9,9,,,,3059,,,,,,1028452,,,,12669,,,,8117,,,5352,1483747,,6744,,,,2548140
SD,3,3,,,,,,,,,,146859,,7204,,2778,,,,,,,,272081,,,,,,428922
TN,11,11,,,5865,3457,,,,988,,1056265,,21535,,,,,,8967,,,,1966865,,,,,,3063942
TX,40,40,,433,,2374,,,,,,4835250,,,,68557,,,3780,82701,,,,6393597,,1858,,,124,11388674
UT,6,6,,,59,3189,,,2653,,,562566,,,,16902,,8402,441,8222,,,,883818,,2199,,,43,1488494
VT,3,,3,8,,1710,,,,211,,235791,,5905,,1828,,,49,893,,7,4,119395,,1549,,,2072,369422
VA,13,,13,,,8408,,,,,,2333778,,,,19802,,,,34880,,,,2074097,,8975,,,23348,4503288
WA,12,,12,3323,,8695,,,,824,,2245849,,54868,917,16428,,,,29754,,,,1530923,,7254,,,25408,3924243
WV,4,4,,10,,73,,,,,,214309,,8947,,3047,,,63,2531,,,,533556,,39,,,7,762582
WI,10,10,,,,2035,,,,,,1668229,,17740,,10511,,,561,12275,,,4044,1697626,,2753,,,7144,3422918
WY,3,3,,,,,,,,,,69527,,,,4193,,,,,,,,192633,,,,,2695,269048
